"language" "repetition" "vot" "consonant"
"spanish" 2 -47.77 "d"
"spanish" 3 -43.64 "d"
"spanish" 1 -56.97 "d"
"spanish" 2 -61.07 "d"
"spanish" 3 -56.94 "d"
"spanish" 1 -63.48 "d"
"spanish" 2 -54.74 "d"
"spanish" 3 -59.02 "d"
"spanish" 1 18.05 "t"
"spanish" 2 12.95 "t"
"spanish" 3 32.95 "t"
"spanish" 1 12.96 "t"
"spanish" 2 12.07 "t"
"spanish" 3 24.17 "t"
"spanish" 1 34.33 "t"
"spanish" 2 1.56 "t"
"spanish" 3 14.97 "t"
"english" 1 11.57 "d"
"english" 2 11.77 "d"
"english" 3 14.88 "d"
"english" 1 13.93 "d"
"english" 2 9.69 "d"
"english" 3 12.71 "d"
"english" 1 20.21 "d"
"english" 2 16.73 "d"
"english" 3 29.45 "d"
"english" 1 56.32 "t"
"english" 2 36.6 "t"
"english" 3 52.49 "t"
"english" 1 48.12 "t"
"english" 2 34.77 "t"
"english" 3 48.55 "t"
"english" 1 23.2 "t"
"english" 2 54.64 "t"
"english" 3 60.86 "t"
"spanish" 1 -47.43 "d"
"spanish" 2 -32.13 "d"
"spanish" 3 -62.39 "d"
"spanish" 1 -65.52 "d"
"spanish" 2 -70.63 "d"
"spanish" 3 -32.28 "d"
"spanish" 1 -63.84 "d"
"spanish" 2 -75.55 "d"
"spanish" 3 -31.55 "d"
"spanish" 1 -9.75 "t"
"spanish" 2 7.72 "t"
"spanish" 3 -2.17 "t"
"spanish" 1 5.43 "t"
"spanish" 2 -7.72 "t"
"spanish" 3 12.08 "t"
"spanish" 1 18.66 "t"
"spanish" 2 28.09 "t"
"spanish" 3 17.51 "t"
"english" 1 14.47 "d"
"english" 2 10.52 "d"
"english" 3 12.04 "d"
"english" 1 15.01 "d"
"english" 2 10.63 "d"
"english" 3 14.58 "d"
"english" 1 3.42 "d"
"english" 2 22.65 "d"
"english" 3 30.41 "d"
"english" 1 62.03 "t"
"english" 2 50.56 "t"
"english" 3 34.21 "t"
"english" 1 48.01 "t"
"english" 2 34.13 "t"
"english" 3 27.58 "t"
"english" 1 49.63 "t"
"english" 2 34.54 "t"
"english" 3 70.68 "t"
"spanish" 1 -54.68 "d"
"spanish" 2 -74.98 "d"
"spanish" 3 -67.83 "d"
"spanish" 1 -67.11 "d"
"spanish" 2 -59.46 "d"
"spanish" 3 -52.95 "d"
"spanish" 1 -61.94 "d"
"spanish" 2 -49.28 "d"
"spanish" 3 -77.18 "d"
"spanish" 1 5.65 "t"
"spanish" 2 20.06 "t"
"spanish" 3 1.29 "t"
"spanish" 1 6.83 "t"
"spanish" 2 19.59 "t"
"spanish" 3 15.41 "t"
"spanish" 1 0.64 "t"
"spanish" 2 0.58 "t"
"spanish" 3 -9.66 "t"
"english" 1 14.19 "d"
"english" 2 20.66 "d"
"english" 3 23.02 "d"
"english" 1 10.59 "d"
"english" 2 15.6 "d"
"english" 3 11.02 "d"
"english" 1 13.77 "d"
"english" 2 20.73 "d"
"english" 3 25.18 "d"
"english" 1 33.64 "t"
"english" 2 58.76 "t"
"english" 3 80.16 "t"
"english" 1 63.03 "t"
"english" 2 54.24 "t"
"english" 3 54.41 "t"
"english" 1 42.3 "t"
"english" 2 54.79 "t"
"english" 3 42.2 "t"
"spanish" 1 -51.14 "d"
"spanish" 2 -62.48 "d"
"spanish" 3 -62.6 "d"
"spanish" 1 -65.71 "d"
"spanish" 2 -46.84 "d"
"spanish" 3 -58.06 "d"
"spanish" 1 -54.78 "d"
"spanish" 2 -53.74 "d"
"spanish" 3 -57.03 "d"
"spanish" 1 22.54 "t"
"spanish" 2 4.77 "t"
"spanish" 3 23.19 "t"
"spanish" 1 -3.76 "t"
"spanish" 2 13.07 "t"
"spanish" 3 -14.12 "t"
"spanish" 1 10.1 "t"
